master_position,instance_id,instance_text,chunk_id
01:01:01:001,spa:01:01:01:001,Yo,spa_chk_00338
00:00:00:002,spa:01:01:01:002,",",spa_chk_00004
01:01:01:002,spa:01:01:01:003,Nefi,spa_chk_00221
00:00:00:002,spa:01:01:01:004,",",spa_chk_00004
01:01:01:003,spa:01:01:01:005,nací,spa_chk_00220
01:01:01:004,spa:01:01:01:006,de,spa_chk_00066
01:01:01:005,spa:01:01:01:007,buenos,spa_chk_00044
01:01:01:006,spa:01:01:01:008,padres,spa_chk_00235
10:00:00:002,spa:01:01:01:009,y,spa_chk_00337
01:01:01:008,spa:01:01:01:010,recibí,spa_chk_00262
00:00:00:002,spa:01:01:01:011,",",spa_chk_00004
01:01:01:007,spa:01:01:01:012,por tanto,spa_chk_00245
00:00:00:002,spa:01:01:01:013,",",spa_chk_00004
01:01:01:009,spa:01:01:01:014,alguna instrucción,spa_chk_00029
01:01:01:010,spa:01:01:01:015,en,spa_chk_00106
01:01:01:011,spa:01:01:01:016,toda,spa_chk_00312
01:01:01:012,spa:01:01:01:017,la ciencia,spa_chk_00157
01:01:01:013,spa:01:01:01:018,de,spa_chk_00066
01:01:01:014,spa:01:01:01:019,mi padre,spa_chk_00206
00:00:00:002,spa:01:01:01:020,;,spa_chk_00007
01:01:01:015,spa:01:01:01:021,y,spa_chk_00337
01:01:01:016,spa:01:01:01:022,habiendo conocido,spa_chk_00135
01:01:01:017,spa:01:01:01:023,muchas,spa_chk_00217
01:01:01:018,spa:01:01:01:024,aflicciones,spa_chk_00022
01:01:01:019,spa:01:01:01:025,durante,spa_chk_00089
01:01:01:020,spa:01:01:01:026,el curso,spa_chk_00092
01:01:01:021,spa:01:01:01:027,de,spa_chk_00066
01:01:01:022,spa:01:01:01:028,mi vida,spa_chk_00208
00:00:00:002,spa:01:01:01:029,",",spa_chk_00004
01:01:01:024,spa:01:01:01:030,siendo,spa_chk_00282
00:00:00:002,spa:01:01:01:031,",",spa_chk_00004
01:01:01:023,spa:01:01:01:032,no obstante,spa_chk_00225
00:00:00:002,spa:01:01:01:033,",",spa_chk_00004
01:01:01:025,spa:01:01:01:034,altamente,spa_chk_00030
01:01:01:026,spa:01:01:01:035,favorecido,spa_chk_00124
01:01:01:027,spa:01:01:01:036,del,spa_chk_00072
01:01:01:028,spa:01:01:01:037,Señor,spa_chk_00277
01:01:01:030,spa:01:01:01:038,todos,spa_chk_00315
01:01:01:031,spa:01:01:01:039,mis dias,spa_chk_00212
00:00:00:002,spa:01:01:01:040,;,spa_chk_00007
01:01:01:032,spa:01:01:01:041,sí,spa_chk_00281
00:00:00:002,spa:01:01:01:042,",",spa_chk_00004
01:01:01:033,spa:01:01:01:043,habiendo logrado,spa_chk_00136
01:01:01:034,spa:01:01:01:044,un,spa_chk_00321
01:01:01:035,spa:01:01:01:045,conocimiento,spa_chk_00057
01:01:01:036,spa:01:01:01:046,grande,spa_chk_00128
01:01:01:037,spa:01:01:01:047,de,spa_chk_00066
01:01:01:038,spa:01:01:01:048,la bondad,spa_chk_00156
01:01:01:039,spa:01:01:01:049,y,spa_chk_00337
